req_id,title,description,req_type,safety_level,priority,module_hint,notes
REQ-EPS-012,Minimum Assist at High Speed,At vehicle speeds >= 120 km/h torque assist shall not exceed 10% of rated maximum assist torque regardless of driver input,FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,Safety limit for high-speed stability
REQ-EPS-013,Maximum Assist at Low Speed,At vehicle speeds <= 5 km/h (parking maneuver) torque assist shall reach full rated assist capacity to minimize driver effort during parking,FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,Parking assist mode requires maximum torque amplification
REQ-EPS-014,Friction Compensation,The system shall add a friction compensation offset to the assist torque based on the rate of change of steering angle. Compensation = k_friction * d(angle)/dt,FUNCTIONAL,QM,SHOULD,SWC_ElectricPowerSteering,Reduces steering effort during angle change phases
REQ-EPS-015,Active Return to Center,When the driver releases the steering wheel (driver torque < 0.5 Nm for > 200ms) the system shall apply a centering torque proportional to steering angle to return the wheel to center,FUNCTIONAL,QM,SHOULD,SWC_ElectricPowerSteering,Improves straight-line driving comfort
REQ-EPS-016,End-Stop Protection,When the steering angle exceeds 90% of the mechanical end-stop limit the system shall reduce assist torque linearly to zero at 100% end-stop limit to prevent mechanical damage,FUNCTIONAL,ASIL-B,MUST,SWC_ElectricPowerSteering,Prevents damage to steering rack at mechanical limits
REQ-EPS-017,Active Damping,The system shall apply an active damping torque opposing the rate of change of motor speed to prevent steering oscillations. Damping = k_damp * d(motor_speed)/dt,FUNCTIONAL,QM,SHOULD,SWC_ElectricPowerSteering,Prevents shimmy and oscillation on rough roads
REQ-EPS-018,Road Camber Compensation,The system shall detect and compensate for steady-state torque offset caused by road camber by applying a slow-adapting offset cancellation filter with time constant 5s,FUNCTIONAL,QM,COULD,SWC_ElectricPowerSteering,Optional comfort feature to reduce driver fatigue
REQ-EPS-019,Motor Current Calculation,The system shall convert the computed assist torque demand to a motor current setpoint using the motor torque constant Kt (Nm/A) stored as calibration parameter. I_motor = torque_demand / Kt,FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,Must account for motor efficiency curve at different speeds
REQ-EPS-020,Torque Demand Rate Limiter,The rate of change of total torque assist demand shall be limited to 500 Nm/s using a first-order rate limiter to prevent abrupt steering responses,SAFETY,ASIL-D,MUST,SWC_ElectricPowerSteering,Rate limit is a key ASIL-D safety requirement
REQ-EPS-021,Low Speed Maneuvering Boost,At vehicle speeds below 10 km/h the system shall apply an additional gain factor of 1.5x to the computed assist torque to ease low-speed maneuvering and parking,FUNCTIONAL,QM,SHOULD,SWC_ElectricPowerSteering,Parking boost improves user experience
REQ-EPS-022,High Speed Stability Assist,At vehicle speeds above 100 km/h the system shall apply a lane-keeping assist correction torque based on yaw rate deviation from expected value. Correction = k_hs * (yaw_measured - yaw_expected),FUNCTIONAL,QM,COULD,SWC_ElectricPowerSteering,Advanced feature requires yaw rate signal
REQ-EPS-023,Steering Angle Rate Limit,The rate of change of the commanded steering angle shall not exceed 720 deg/s to prevent mechanical shock loads on the steering rack,SAFETY,ASIL-B,MUST,SWC_ElectricPowerSteering,Protects steering rack from high-speed angle transients
REQ-EPS-024,Torque Sensor Signal Processing,The driver torque sensor signal from RP_TorqueSensorPrimary shall be filtered using a 2nd-order Butterworth low-pass filter with 50 Hz cutoff to remove high-frequency noise before use in assist computation,FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,Noise rejection critical for stable control
REQ-EPS-030,System Operating Modes,SWC_ElectricPowerSteering shall implement the following operating modes managed by RE_HandleModeChange: INIT ACTIVE STANDBY FAIL_SAFE SHUTDOWN,FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,Mode is stored as internal state variable
REQ-EPS-031,Transition INIT to ACTIVE,The system shall transition from INIT to ACTIVE mode when: (a) all sensor signals are valid (b) supply voltage >= 9V (c) motor temperature < 80 degrees Celsius and (d) RAM/ROM self-test passed,FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,All conditions must hold simultaneously for exactly one evaluation cycle
REQ-EPS-032,Transition to STANDBY,The system shall transition to STANDBY mode when IgnitionStatus_CAN transitions from ON to OFF. Motor current output shall be ramped to zero over 500ms before entering STANDBY,FUNCTIONAL,ASIL-B,MUST,SWC_ElectricPowerSteering,Graceful power-down prevents jerk on ignition off
REQ-EPS-033,Transition to FAIL_SAFE,The system shall immediately transition to FAIL_SAFE mode when any of the following conditions are detected: sensor plausibility failure motor current > 70A motor temp > 80C supply voltage < 9V watchdog timeout or CAN timeout > 50ms,SAFETY,ASIL-D,MUST,SWC_ElectricPowerSteering,FAIL_SAFE transition must complete within 1 control cycle (5ms)
REQ-EPS-034,Transition to SHUTDOWN,The system shall transition to SHUTDOWN from any mode when ECU power is removed or when explicit shutdown command received. All outputs shall be set to zero before shutdown,FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,Power loss handled by hardware; SWC handles graceful shutdown signal
REQ-EPS-035,STANDBY Mode Behavior,In STANDBY mode the system shall hold motor current demand at zero. Sensor monitoring shall continue at reduced rate (10ms cycle). The SWC shall be ready to transition to ACTIVE within 100ms of ignition ON,FUNCTIONAL,ASIL-B,MUST,SWC_ElectricPowerSteering,Sensor monitoring in STANDBY detects re-activation conditions
REQ-EPS-036,FAIL_SAFE Limp Home Mode,In FAIL_SAFE mode the system shall provide reduced assist at maximum 20% of rated capacity to allow the driver to complete the journey. Motor current limit shall be 14A (20% of 70A rated),SAFETY,ASIL-D,MUST,SWC_ElectricPowerSteering,Limp-home must be safe under all fault combinations
REQ-EPS-037,Mode Transition Timing,All mode transitions shall complete (outputs stabilized at new mode setpoints) within 50 ms of the triggering condition being detected,TIMING,ASIL-D,MUST,SWC_ElectricPowerSteering,Worst-case includes 10 control cycles at 5ms each
REQ-EPS-040,Torque Gradient Safety Limit,The rate of change of assist torque output shall never exceed 500 Nm/s. This limit is enforced in every execution of RE_ControlTorque independently of mode,SAFETY,ASIL-D,MUST,SWC_ElectricPowerSteering,ASIL-D safety requirement - gradient limit prevents vehicle instability
REQ-EPS-041,Redundant Sensor Plausibility Check,RE_MonitorSafety shall compare TorqueSensorPrimary and TorqueSensorSecondary values every 10ms. If the absolute deviation exceeds 2.0 Nm for more than 3 consecutive cycles the system shall set DTC_EPS_SENSOR_FAIL and transition to FAIL_SAFE,SAFETY,ASIL-D,MUST,SWC_ElectricPowerSteering,3-cycle debounce prevents false positives from transient noise
REQ-EPS-042,Motor Current Hard Limit,Software shall limit motor current demand to <= 70A at all times. The hardware overcurrent protection triggers at 80A. If software limit is reached for > 100ms DTC_EPS_OVERCURRENT shall be set,SAFETY,ASIL-D,MUST,SWC_ElectricPowerSteering,10A margin between software and hardware limits provides safety layer
REQ-EPS-043,Thermal Protection,RE_MonitorSafety shall monitor RP_MotorTemperature every 10ms. When temp > 80 degrees Celsius assist shall be linearly reduced by 5% per degree above 80C. When temp > 100C motor shall be disabled and DTC_EPS_OVERHEAT set,SAFETY,ASIL-B,MUST,SWC_ElectricPowerSteering,Linear derating prevents abrupt loss of assist
REQ-EPS-044,Supply Voltage Monitoring,RE_MonitorSafety shall monitor ECU supply voltage every 10ms. If voltage drops below 9.0V for more than 5 consecutive cycles assist shall be disabled and DTC_EPS_UNDERVOLTAGE set. System shall recover automatically when voltage returns above 10.5V,SAFETY,ASIL-D,MUST,SWC_ElectricPowerSteering,Hysteresis between disable (9V) and recovery (10.5V) prevents chattering
REQ-EPS-045,Watchdog Supervision,The SWC shall trigger the hardware watchdog via Rte_Call every 5ms within RE_ControlTorque. A missed trigger shall cause the watchdog to reset the ECU. Software shall detect watchdog expiry via reset cause register on next startup,SAFETY,ASIL-D,MUST,SWC_ElectricPowerSteering,Hardware watchdog is independent of software - ASIL-D requirement
REQ-EPS-046,CAN Signal End-to-End Protection,All safety-relevant CAN input signals (VehicleSpeed IgnitionStatus TorqueSensors) shall be protected by E2E Profile 2 as per AUTOSAR E2E library. E2E counter mismatch shall trigger DTC_EPS_CAN_TIMEOUT after 2 consecutive failures,SAFETY,ASIL-D,MUST,SWC_ElectricPowerSteering,E2E protects against transmission errors on CAN bus
REQ-EPS-047,Startup Self-Test,RE_Initialize shall perform RAM checksum test and ROM CRC-32 verification on startup. Any failure shall set the SWC to FAIL_SAFE mode permanently until ECU is serviced,SAFETY,ASIL-D,MUST,SWC_ElectricPowerSteering,ROM CRC computed offline and stored as calibration constant
REQ-EPS-048,Stack Overflow Detection,The OS configuration shall assign stack guard regions to all EPS tasks. Stack overflow shall trigger an immediate FAIL_SAFE transition and DEM error notification,SAFETY,ASIL-D,MUST,SWC_ElectricPowerSteering,AUTOSAR OS stack monitoring feature
REQ-EPS-049,CPU Load Monitoring,RE_MonitorSafety shall measure execution time of RE_ControlTorque each cycle. If average CPU load exceeds 80% over 100 consecutive cycles a warning DTC shall be set and execution profiling data written to NVM,CONSTRAINT,QM,SHOULD,SWC_ElectricPowerSteering,CPU budget monitoring prevents real-time overload
REQ-EPS-050,DTC Sensor Failure,DTC_EPS_SENSOR_FAIL (0x910001) shall be reported to DEM via Dem_ReportErrorStatus when TorqueSensorPrimary and TorqueSensorSecondary disagree by > 2.0 Nm for 3 consecutive 10ms cycles,FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,DTC is ASIL-D classified - requires confirmed failure before set
REQ-EPS-051,DTC Overcurrent,DTC_EPS_OVERCURRENT (0x910002) shall be reported when motor current demand reaches the 70A software limit for more than 100ms. DTC shall be stored immediately in NVM,FUNCTIONAL,ASIL-B,MUST,SWC_ElectricPowerSteering,Immediate NVM storage prevents data loss on power cycle
REQ-EPS-052,DTC Overheat,DTC_EPS_OVERHEAT (0x910003) shall be reported when motor temperature exceeds 80 degrees Celsius. DTC shall include snapshot data: temperature speed and assist level at time of fault,FUNCTIONAL,ASIL-B,MUST,SWC_ElectricPowerSteering,Snapshot data aids field diagnostics
REQ-EPS-053,DTC Undervoltage,DTC_EPS_UNDERVOLTAGE (0x910004) shall be reported when supply voltage drops below 9.0V. DTC shall include voltage value snapshot,FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,Undervoltage most common EPS field complaint - snapshot critical
REQ-EPS-054,DTC CAN Timeout,DTC_EPS_CAN_TIMEOUT (0x910005) shall be reported when any safety-relevant CAN signal is absent or fails E2E check for more than 50ms (5 cycles at 10ms CAN cycle),FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,CAN timeout must account for worst-case bus recovery time
REQ-EPS-055,DTC NVM Storage,All DTCs shall be stored in NVM via Dem_SetEventStatus followed by NvM_WriteBlock within the same RE_DiagnosticUpdate execution cycle to ensure fault persistence across power cycles,FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,NvM block ID for EPS DTCs is NvM_EPS_FaultLog
REQ-EPS-056,DTC Healing Condition,All healable DTCs (0x910001 through 0x910005) shall be cleared automatically after 3 consecutive fault-free evaluation cycles with no recurrence of the triggering condition,FUNCTIONAL,ASIL-B,MUST,SWC_ElectricPowerSteering,Healing counter reset on each fault detection
REQ-EPS-060,Vehicle Speed CAN Input,VehicleSpeed signal shall be received on CAN via RP_VehicleSpeed with range 0-250 km/h resolution 0.01 km/h and a 10ms transmission cycle. Loss of signal > 50ms shall trigger DTC_EPS_CAN_TIMEOUT,INTERFACE,ASIL-D,MUST,SWC_ElectricPowerSteering,CAN message: VehicleStatusMsg ID 0x310
REQ-EPS-061,Ignition Status CAN Input,IgnitionStatus signal shall be received via RP_IgnitionStatus as a boolean (ON/OFF) with 20ms transmission cycle. Signal is E2E protected with Profile 2,INTERFACE,ASIL-D,MUST,SWC_ElectricPowerSteering,CAN message: PowerModeMsg ID 0x100
REQ-EPS-062,Yaw Rate CAN Input,YawRate signal shall be received via RP_YawRate with range -100 to +100 deg/s resolution 0.01 deg/s and 10ms transmission cycle for high-speed stability function,INTERFACE,QM,SHOULD,SWC_ElectricPowerSteering,CAN message: IMUDataMsg ID 0x420
REQ-EPS-063,Primary Torque Sensor Interface,TorqueSensorPrimary signal shall be received via RP_TorqueSensorPrimary from a direct SPI interface with range -25 to +25 Nm resolution 0.01 Nm and 1ms acquisition cycle. Signal shall be filtered before use,INTERFACE,ASIL-D,MUST,SWC_ElectricPowerSteering,SPI sensor provides raw ADC value - conversion to Nm in SWC
REQ-EPS-064,Secondary Torque Sensor Interface,TorqueSensorSecondary shall provide a fully redundant torque measurement via RP_TorqueSensorSecondary with identical range and resolution to the primary sensor but using an independent SPI bus and different physical sensor element,INTERFACE,ASIL-D,MUST,SWC_ElectricPowerSteering,Redundancy requires physical and electrical independence from primary
REQ-EPS-065,Motor Current Output,MotorCurrentDemand shall be written via PP_MotorCurrentDemand with range 0-70A resolution 0.1A and updated every 5ms in RE_ControlTorque. The motor controller ECU reads this signal via CAN to command the motor drive,INTERFACE,ASIL-D,MUST,SWC_ElectricPowerSteering,CAN message: EPSControlMsg ID 0x520
REQ-EPS-066,EPS Status CAN Output,EPSStatus shall be written via PP_EPSStatus every 10ms containing: current_mode (4 bits) active_dtc_count (8 bits) assist_level_percent (8 bits) and system_health (4 bits). This data is used by the instrument cluster and gateway,INTERFACE,ASIL-B,MUST,SWC_ElectricPowerSteering,CAN message: EPSStatusMsg ID 0x530
